MSB	PRG	LSB	NME	LVL
120	000	001	Standard	0
120	001	001	Standrd2	1
120	002	001	Standrd3	1
120	003	001	AcstcKit	1
120	004	001	PpStRXKt	1
120	005	001	StdRXKit	2
120	006	001	StdRXKt2	3
120	007	001	StdRXKt3	3
120	008	001	Room Kit	0
120	009	001	HipHopKt	1
120	010	001	JungleKt	1
120	011	001	TechnoKt	1
120	012	001	RoomKit2	1
120	013	001	HipHpKt2	1
120	014	001	TeknoKt2	1
120	015	001	TeknoKt3	1
120	016	001	PowerKit	0
120	017	001	PowerKt2	1
120	018	001	PwrRXKit	2
120	019	001	PwrRXKt2	2
120	020	001	PwrAmbKt	4
120	021	001	PwrAmKt2	4
120	022	001	RockAmKt	4
120	023	001	GateAmKt	4
120	024	001	ElectrKt	0
120	025	001	AnalogKt	0
120	026	001	HouseKit	1
120	027	001	HouseKt2	1
120	028	001	HouseKt3	1
120	029	001	HouseKt4	1
120	030	001	HousRXKt	2
120	031	001	HseRXKt2	2
120	032	001	Jazz Kit	0
120	033	001	JazzRXKt	2
120	034	001	JazRXKt2	2
120	035	001	JazRXKt3	2
120	036	001	JazAmbKt	4
120	037	001	JazAmKt2	4
120	038	001	LngeAmKt	4
120	039	001	CoolAmKt	4
120	040	001	BrushKit	0
120	041	001	BrushKt2	0
120	042	001	BrshRXKt	2
120	043	001	BshRXKt2	2
120	044	001	BshRXKt3	2
120	045	001	BrshAmKt	4
120	046	001	BshAmKt2	4
120	047	001	BrushKit	0
120	048	001	Orch.Kit	0
120	049	001	OrchKit3	4
120	050	001	BD&SD Kt	1
120	051	001	Arab.Kit	1
120	052	001	Orch.Kit	0
120	056	001	SFX Kit	0
120	057	001	SFX Kt 3	4
120	058	001	SynthKit	4
120	059	001	SynthKt2	4
120	060	001	SFX Kt 4	4
120	061	001	SFX Kit	0
120	064	001	Perc.Kit	1
120	065	001	LatnPcKt	1
120	066	001	TriPrcKt	1
120	067	001	i30PrcKt	1
120	068	001	LtnPcKt2	4
120	069	001	StdPrcKt	4
120	070	001	Perc.Kit	1
120	072	001	HpHpRXKt	2
120	073	001	TknoRXKt	2
120	074	001	DnceRXKt	2
120	075	001	ElkrRXKt	4
120	076	001	ElkRXKt2	4
120	077	001	GrooveKt	4
120	078	001	StdRXKit	2
120	080	001	RmAmbKit	4
120	081	001	RealAmKt	4
120	082	001	RlAmbKt2	4
120	083	001	StdRXKit	2
120	089	001	PopStdKt	2
120	090	001	PpStdKt2	2
120	096	001	ElektrKt	2
120	097	001	Elek.Kt2	2
120	116	001	Arab.Kit	1
120	117	001	ArabKit2	1
120	118	001	TurkeyKt	4
120	119	001	OrientKt	4
120	120	001	RoomKit3	2
120	121	001	PowerKt3	2
120	122	001	Elec.Kt2	2
120	123	001	AnalgKt2	2
120	124	001	JazzKit2	3
120	125	001	BrushKt3	2
120	126	001	OrchKit2	3
120	127	001	SFX Kt 2	3
120	000	002	User Kit	1
121	000	032	GrandPno	0
121	000	033	GrndPnoW	0
121	000	034	GrndPnoD	0
121	001	032	BritePno	0
121	001	033	BritPnoW	0
121	002	032	EGrndPno	1
121	002	033	EGndPnoW	1
121	003	032	HnkyTonk	1
121	003	033	HnkyTnkW	1
121	004	032	ElPiano1	1
121	004	033	DetEPno1	1
121	004	034	VX E.Pno	1
121	004	035	60sElPno	0
121	005	032	ElPiano2	1
121	005	033	DetEPno2	1
121	005	034	VX EPno2	1
121	005	035	DX Legnd	1
121	005	036	DX Phase	1
121	006	032	Hrpschrd	0
121	006	033	HpschdOM	1
121	006	034	HpschrdW	0
121	006	035	HpschdKO	1
121	007	032	Clavinet	1
121	007	033	PlsClavi	0
121	008	032	Celesta	0
121	009	032	Glocken	0
121	010	032	MusicBox	1
121	011	032	Vibrafon	0
121	011	033	VibrafnW	0
121	012	032	Marimba	0
121	012	033	MarimbaW	0
121	013	032	Xylophon	0
121	014	032	TubulBel	0
121	014	033	ChrchBel	1
121	014	034	Carillon	1
121	015	032	Dulcimer	0
121	016	032	DrawOrgn	0
121	016	033	DetDrwOr	1
121	016	034	60sDrOrg	1
121	016	035	DrawOrg2	1
121	017	032	PercOrgn	0
121	017	033	DetPrcOr	1
121	017	034	PercOrg2	1
121	018	032	RockOrgn	1
121	019	032	ChrchOrg	1
121	019	033	ChurOrOM	1
121	019	034	DetChrOr	1
121	020	032	ReedOrgn	0
121	020	033	Puff Org	1
121	021	032	Acordion	1
121	021	033	AccordIt	1
121	022	032	Harmnica	0
121	023	032	TangoAcd	1
121	024	032	NylonGtr	0
121	024	033	Ukulele	0
121	024	034	NylnGtKO	1
121	024	035	NylonGt2	0
121	025	032	SteelGtr	0
121	025	033	12StrGtr	1
121	025	034	Mandolin	1
121	025	035	Stl&Body	1
121	026	032	Jazz Gtr	0
121	026	033	PdlSteel	0
121	027	032	CleanGtr	0
121	027	033	DetChoGt	1
121	027	034	MidT.Gtr	0
121	028	032	MutedGtr	0
121	028	033	Funk Gtr	1
121	028	034	MutedGtV	1
121	028	035	Jazz Man	1
121	029	032	OvrDrvGt	0
121	029	033	Gt.Pinch	1
121	030	032	Dist.Gtr	0
