MSB	PRG	LSB	NME	ELC
000	000	000	GrandPno	0
000	001	000	BritePno	0
000	002	000	EGrndPno	0
000	003	000	HnkyTonk	0
000	004	000	ElPiano1	0
000	005	000	ElPiano2	0
000	006	000	Hrpschrd	0
000	007	000	Clvichrd	0
000	008	000	Celesta	0
000	009	000	Glocken	0
000	010	000	MusicBox	0
000	011	000	Vibrafon	0
000	012	000	Marimba	0
000	013	000	Xylophon	0
000	014	000	TubulBel	0
000	015	000	Dulcimer	0
000	016	000	DrawOrgn	0
000	017	000	PercOrgn	0
000	018	000	RockOrgn	0
000	019	000	ChrchOrg	0
000	020	000	ReedOrgn	0
000	021	000	Acordion	0
000	022	000	Harmnica	0
000	023	000	TangoAcd	0
000	024	000	NylonGtr	0
000	025	000	SteelGtr	0
000	026	000	Jazz Gtr	0
000	027	000	CleanGtr	0
000	028	000	MutedGtr	0
000	029	000	OvrDrvGt	0
000	030	000	Dist.Gtr	0
000	031	000	GtrHarmo	0
000	032	000	Aco.Bass	0
000	033	000	FngrBass	0
000	034	000	PickBass	0
000	035	000	Fretless	0
000	036	000	SlapBass	0
000	037	000	SlapBas2	0
000	038	000	SynBass1	0
000	039	000	SynBass2	0
000	040	000	Violin	0
000	041	000	Viola	0
000	042	000	Cello	0
000	043	000	Contrbas	0
000	044	000	Trem.Str	0
000	045	000	Pizz.Str	0
000	046	000	Harp	0
000	047	000	Timpani	0
000	048	000	Strings1	0
000	049	000	Strings2	0
000	050	000	Syn.Str1	0
000	051	000	Syn.Str2	0
000	052	000	ChoirAah	0
000	053	000	VoiceOoh	0
000	054	000	SynVoice	0
000	055	000	Orch.Hit	0
000	056	000	Trumpet	0
000	057	000	Trombone	0
000	058	000	Tuba	0
000	059	000	MutedTrp	0
000	060	000	FrchHorn	0
000	061	000	BrasSect	0
000	062	000	SynBras1	0
000	063	000	SynBras2	0
000	064	000	SprnoSax	0
000	065	000	Alto Sax	0
000	066	000	TenorSax	0
000	067	000	Bari.Sax	0
000	068	000	Oboe	0
000	069	000	Eng.Horn	0
000	070	000	Bassoon	0
000	071	000	Clarinet	0
000	072	000	Piccolo	0
000	073	000	Flute	0
000	074	000	Recorder	0
000	075	000	PanFlute	0
000	076	000	BotlBlow	0
000	077	000	Shakhchi	0
000	078	000	Whistle	0
000	079	000	Ocarina	0
000	080	000	SquareLd	0
000	081	000	Saw Lead	0
000	082	000	CaliopLd	0
000	083	000	Chiff Ld	0
000	084	000	CharanLd	0
000	085	000	Voice Ld	0
000	086	000	Fifth Ld	0
000	087	000	Bass&Ld	0
000	088	000	NewAgePd	0
000	089	000	Warm Pad	0
000	090	000	PolySyPd	0
000	091	000	ChoirPad	0
000	092	000	BowedPad	0
000	093	000	MetalPad	0
000	094	000	Halo Pad	0
000	095	000	SweepPad	0
000	096	000	Ice Rain	0
000	097	000	SoundTrk	0
000	098	000	Crystal	0
000	099	000	Atmosphr	0
000	100	000	Bright	0
000	101	000	Goblins	0
000	102	000	Echoes	0
000	103	000	Sci-Fi	0
000	104	000	Sitar	0
000	105	000	Banjo	0
000	106	000	Shamisen	0
000	107	000	Koto	0
000	108	000	Kalimba	0
000	109	000	Bagpipe	0
000	110	000	Fiddle	0
000	111	000	Shanai	0
000	112	000	TnklBell	0
000	113	000	Agogo	0
000	114	000	SteelDrm	0
000	115	000	Woodblok	0
000	116	000	Taiko	0
000	117	000	MelodTom	0
000	118	000	Syn Drum	0
000	119	000	RevCymbl	0
000	120	000	FretNoiz	0
000	121	000	BrthNoiz	0
000	122	000	Seashore	0
000	123	000	Tweet	0
000	124	000	Telphone	0
000	125	000	Helicptr	0
000	126	000	Applause	0
000	127	000	Gunshot	0
056	000	000	Piano	0
056	001	000	BrtPiano	0
056	002	000	HammrPno	0
056	003	000	HnkyTonk	0
056	004	000	New Tine	0
056	005	000	Digi.Pno	0
056	006	000	Hrpschrd	0
056	007	000	Clvichrd	0
056	008	000	Celesta	0
056	009	000	Glocken	0
056	010	000	MusicBox	0
056	011	000	Vibrafon	0
056	012	000	Marimba	0
056	013	000	Xylophon	0
056	014	000	Tubular	0
056	015	000	Santur	0
056	016	000	FullOrgn	0
056	017	000	PercOrgn	0
056	018	000	BX3 Orgn	0
056	019	000	ChrchPpe	0
056	020	000	Positive	0
056	021	000	Musette	0
056	022	000	Harmnica	0
056	023	000	Tango	0
056	024	000	ClassGtr	0
056	025	000	Acou.Gtr	0
056	026	000	Jazz Gtr	0
056	027	000	CleanGtr	0
056	028	000	MuteGtr.	0
056	029	000	Ovrdrive	0
056	030	000	Dst.Gtr.	0
056	031	000	RockHrmo	0
056	032	000	Jazzy Ba	0
056	033	000	DeepBass	0
056	034	000	PickBass	0
056	035	000	Fretless	0
056	036	000	SlpBass1	0
056	037	000	SlpBass2	0
056	038	000	SynBass1	0
056	039	000	SynBass2	0
056	040	000	Violin	0
056	041	000	Viola	0
056	042	000	Cello	0
056	043	000	Contrbas	0
056	044	000	Trem.Str	0
056	045	000	Pizzcato	0
056	046	000	Harp	0
056	047	000	Timpani	0
056	048	000	Marcato	0
056	049	000	Slow Str	0
056	050	000	Anal.Pad	0
056	051	000	StringPd	0
056	052	000	Choir	0
056	053	000	DooVoice	0
056	054	000	Voices	0
056	055	000	Orch.Hit	0
056	056	000	Trumpet	0
056	057	000	Trombone	0
056	058	000	Tuba	0
056	059	000	MutedTrp	0
056	060	000	FrchHorn	0
056	061	000	Brass	0
056	062	000	SynBrass	0
056	063	000	SynBras2	0
056	064	000	SprnoSax	0
056	065	000	Alto Sax	0
056	066	000	TenorSax	0
056	067	000	Bari Sax	0
056	068	000	Swt Oboe	0
056	069	000	Eng.Horn	0
056	070	000	BasnOboe	0
056	071	000	Clarinet	0
056	072	000	Piccolo	0
056	073	000	Flute	0
056	074	000	Recorder	0
056	075	000	PanFlute	0
056	076	000	Bottle	0
056	077	000	Shakhchi	0
056	078	000	Whistle	0
056	079	000	Ocarina	0
056	080	000	SquareWv	0
056	081	000	Saw Wave	0
056	082	000	SyCaliop	0
056	083	000	SynChiff	0
056	084	000	SyCharan	0
056	085	000	AirChor.	0
056	086	000	Rezzo4th	0
056	087	000	Bass&Ld	0
056	088	000	Fantasia	0
056	089	000	Warm Pad	0
056	090	000	Poly Pad	0
056	091	000	GhostPad	0
056	092	000	BowGlass	0
