ID	Name
GrndPnoK	Grand Piano KSP
MelloGrP	Mellow Grand Piano
PianoStr	Piano + Strings
ConGrand	Concert Grand Piano
DblConGr	Double Concert Grand
OldAcPno	Old Acoustic Piano
GrandP #	Grand Piano #
BritPnoK	Bright Piano KSP
StBrtPno	Stereo Bright Piano
BriteP #	Bright Piano #
EGndPnoK	Electric Grand Piano KSP
HnkyTnkK	Honky Tonk KSP
EPiano1K	Electric Piano 1 KSP
MellowEP	Mellow Electric Piano
HardEPno	Hard Electric Piano
VX E.Pno	VX Electric Piano
60sElPno	60s' Electric Piano
Easy EP	Easy Electric Piano
EPiano1#	Electric Piano 1 #
EPiano2K	Electric Piano 2 KSP
VX EPno2	VX Electric Piano 2
EPiano2#	Electric Piano 2 #
HpschrdK	Harpsichord KSP
Hpschrd2	Harpsichord 2
Hpschrd3	Harpsichord 3
ClvchrdK	Clavichord KSP
ClaviWah	Wah Clavichord
PulseClv	Pulse Clavichord
Perc Clv	Pierce Clavichord
SupClavi	Super Clavichord
VibrafnK	Vibraphone KSP
HardVibr	Hard Vibraphone
DetDrwOr	Detuned Drawbar Organ
60sDrOrg	60s' Drawbar Organ
60sDrOr2	60s' Drawbar Organ 2
70sDrOrg	70s' Drawbar Organ
DrawOrg2	Drawbar Organ 2
60sDrOr3	60s' Drawbar Organ 3
70sDrOr2	70s' Drawbar Organ 2
DrawOrg3	Drawbar Organ 3
ClkGspOr	Click Gospel Organ
Mood Org	Moody Organ
DrawOrg#	Drawbar Organ #
70sPcOrg	70s' Percussive Org
DetPrcOr	Detuned Perc Organ
PercOrg2	Percussive Organ 2
WarmJazz	Warm Jazz Organ
PercOrg#	Percussive Organ #
SlwRotar	Slow Rotary Organ
FstRotar	Fast Rotary Organ
ChurOrg3	Church Organ 3
ChurOrg2	Church Organ 2
TrmOrgFl	Tremolo Organ Flute
AccordIt	Italian Accordion
TngoAcd2	Tango Accordion 2
NylonGt2	Nylon Guitar 2
NylonGt3	Nylon Guitar 3
VelGtHrm	Velo Guitar Harmonics
DecayEsG	Decay Spanish Guitar
NylonGt#	Nylon Guitar #
SteelGt2	Steel Guitar 2
12StrGtr	12-string Guitar
Nyln&Stl	Nylon & Steel Guitar
Stl&Body	Steel Guitar & Body
Nashvill	Nashville Guitar
OldSampl	Old Sample Guitar
SteelGt#	Steel Guitar #
MelloGtr	Mellow Guitar
Jazz Amp	Jazz Guitar Amp
MidSJazz	Mid. Super Jazz Guitar
NekRough	Roughcaster Neck
JazzGtr#	Jazz Guitar #
ChorusGt	Chorus Guitar
MidT.Gtr	Mid-tone Guitar
MidTGtSt	Mid-tone Guitar Stereo
Mid Hamr	Middle Hammer Guitar
BridHamr	Bridge Hammer
Dbl Hamr	Double Hammer
St. Hamr	Stereo Hammer Guitar
Funk Gtr	Funk Guitar 1
MuteStlG	Muted Steel Guitar
FunkGtr2	Funk Guitar 2
GrvyMtGt	Groovy Muted Guitar
Mu.DstGt	Muted Distortion Guitar
MutedGt#	Muted Guitar #
OvdrGtDt	Detuned Overdrive Guitar
BriMnhtn	Bright Manhattan
Ovrdriv#	Overdriven #
DstRthmG	Distorted Rhythm Guitar
DistGtr2	Distortion Guitar 2
DistGtr3	Distortion Guitar 3
PowerGt2	Power Guitar 2
PowerGtr	Power Guitar
Dst.5ths	Distorted Fifths
FeedbkGt	Feedback Guitar
FeedbkG2	Feedback Guitar 2
TwinDist	Twin Distortion Guitar
RckRthm2	Rock Rhythm 2
Dist.Gt#	Distortion Guitar #
AcouHarm	Acoustic Harmonics
GtFeedbk	Guitar Feedback
GtrHrmo2	Guitar Harmonics 2
PkAcouBa	Picked Acoustic Bass
VXUprght	VX Upright Bass
Acou.Ba#	Acoustic Bass #
FingrDrk	Dark Fingered Bass
FngrSlap	Fingered Slap Bass
FngrBas2	Fingered Bass 2
Mod Bass	Modulation Bass
RezChase	Resonant Chase
FW EBass	Finger W Electric Bass
FingrBa#	Fingered Bass #
PickBas2	Picked Bass 2
M.PkBass	Muted Picked Bass
HardPick	Hard Picked Bass
RzHardPk	Resonant Hard Pick Bass
Fretles2	Fretless Bass 2
Fretles3	Fretless Bass 3
Fretles4	Fretless Bass 4
Pwr.Fret	Powered Fretless Bass
SynFretl	Synth Fretless Bass
SmthFrtl	Smooth Fretless Bass
Fretles#	Fretless Bass #
ResoSlap	Resonant Slap Bass
PunchThm	Punch Thumb Bass
VeloSlap	Velo Switch Slap
SlapBa2#	Slap Bass 2 #
SynBs1Dk	Dark Synth Bass 1
FastResB	Fast Resonant Bass
ResoBass	Resonant Bass
HardReso	Hard Resonant Bass
MnplisBa	Minneapolis Bass
MelloSBa	Mellow Synth Bass
Seq.Bass	Sequenced Bass
ClkSynBa	Click Synth Bass
SynBs2Dk	Dark Synth Bass 2
SmthSynB	Smooth Synth Bass
F.OsciBa	Forced Oscillation Bass
SynthAtk	Synth Attack Bass
ViolinSc	Violin Section
HdVlnSec	Hard Violin Section
SlVlnSec	Slow Violin Section
ViolaSec	Viola Section
HdVlaSec	Hard Viola Section
SlVlaSec	Slow Viola Section
CellSect	Cello Section
HdCelloS	Hard Cello Section
SlCelloS	Slow Cello Section
ContrSec	Contrabass Section
HdContrS	Hard Contrabass Section
SlContrS	Slow Contrabass Section
SlwTrStr	Slow Tremolo Strings
Susp.Str	Suspense Strings
BrTrmStr	Bright Tremolo Strings
TremStr#	Tremolo Strings #
PizzOcta	Pizzcato Octave
ElecHarp	Electric Harp
DtVliHrp	Detuned Violin Harp
StStrngs	Stereo Strings
SforzStr	Sforzando Strings
OrcheStr	Orchestral Strings
OrchStr2	Orchestral Strings 2
TremOrch	Tremolo Orch Strings
Velo.Str	Velocity Strings
Triste	Triste Strings
Stacc.Hi	High Staccato Strings
SwellStr	Swell Strings
3 OctStr	3 Octave Strings
5PartStr	5-Part Strings
StSlwStr	Stereo Slow Strings
LegatoSt	Legato Strings
ChmbrStr	Chamber Strings
Reso Str	Resonant Strings
Syn.Str3	Synth Strings 3
GrandPad	Grand Strings Pad
SweepStr	Sweep Strings
Syn.Str4	Synth Strings 4
Syn.Str5	Synth Strings 5
MelChoir	Mellow Choir
ChoirStr	Choir Strings
SynVoix2	Synth Voice 2
OrchHit2	Orchestra Hit 2
BrsStb80	Brass Stab 80
BriteTrp	Bright Trumpet
SoftDTrp	Soft Dark Trumpet
Blow	Blown Trumpet
Dbl Blow	Double Blown Trumpet
SweetTrp	Sweet Trumpet
MlSwtTrp	Mellow Sweet Trumpet
NormlTrp	Normal Trumpet
Bril Trp	Brilliant Trumpet
BrtTromb	Bright Trombone
MelloTrb	Mellow Trombone
BrilTrmb	Brilliant Trombone
HardTrmb	Hard Trombone
BrtBsTrb	Bright Bass Trombone
HrdBsTrb	Hard Bass Trombone
TromSect	Trombone Section
MuteTrp2	Muted Trumpet 2
MutedTp#	Muted Trumpet #
FrHrSolo	French Horn Solo
FrHorn 2	French Horn 2
HornOrch	Horn Orchestra
Syn.Horn	Synth French Horn
HrnOrch2	Horn Orchestra 2
BrtFrHrn	Bright French Horn
HardFrHr	Hard French Horn
StBrsSec	Stereo Brass Section
SforzBrs	Sforzando Brass
Tp&TbSec	Trumpet & Tromb. Section
TpTbSec2	Trumpet & Tromb. Sect. 2
BrsSect2	Brass Section 2
CutBrass	Super Brass Cut
Tenor&Tp	Tenor Sax & Trumpet
SymphBrs	Symphonic Brass
BrsSect#	Brass Section #
RezSynBr	Resonant Synth Brass
SynBras3	Synth Brass 3
AnlSforz	Analog Sforzando
SyBrsSub	Synth Brass Sub-oscillator
AnVelBrs	Analog Velocity Brass
SynBras4	Synth Brass 4
AnVelBr2	Analog Velocity Brass 2
AnalBrs2	Analog Brass 2
SwtSprno	Sweet Soprano Sax
LgtAltSx	Legato Alto Sax
Sax Sect	Saxophone Section
HyprAlto	Hyper Alto Sax
PwrAltSx	Power Alto Sax
FakeAlto	Fake Alto Sax
FakeAlt+	Fake Alto Sax +
DFakeAlt	Dark Fake Alto Sax
AltoSax#	Alto Saxophone #
BrthTnSx	Breathy Tenor Sax
SoftTenr	Soft Tenor Sax
