ID	Name
LayerCP1	LayeredCP1
GrndPnoK	GrndPianoK
MelloGrP	MelloGrPno
PianoStr	PianoStrng
DreamPno	DreamPiano
DblConGr	DblConGrnd
GrandP #	GrndPiano#
BritPnoK	BritPianoK
BriteP #	BritPiano#
EGndPnoK	ElGrndPnoK
Det.CP80	DetuneCP80
LayerCP2	LayeredCP2
HnkyTnkK	HonkyTonkK
EPiano1K	ElPiano 1K
MellowEP	Mellow EP.
ChorusEP	Chorus EP.
HardEPno	Hard ElPno
VX E.Pno	VX ElPiano
60sElPno	60's ElPno
Easy EP	Easy EP.
EPiano1#	El.Piano1#
EPiano2K	ElPiano 2K
Chor.EP2	ChorusEP.2
DX Hard	DX Hard EP
DXLegend	DX Legend
DXAnalog	DX Analog
DX Kt EP	DX Koto EP
VX EPno2	VX EPiano2
EPiano2#	El.Piano2#
HpschrdK	HrpsichrdK
Hpschrd2	Hrpsichrd2
Hpschrd3	Hrpsichrd3
ClvchrdK	ClvichordK
ClaviWah	ClvchrdWah
PulseClv	PulseClavi
Perc Clv	PierceClav
SupClavi	SuperClavi
Clavi. #	Clavichrd#
FM Celst	FM Celesta
S. Orgel	SmallOrgel
VibrafnK	VibrafoneK
HardVibr	HardVibrfn
MarimbaK	Marimba K
SMarimba	SineMrimba
Balafone	Balaphone
Log Drum	Log Drums
ChrchBel	ChurchBell
Dulcmer2	Dulcimer 2
DetDrwOr	DetDrawOrg
60sDrOrg	60sDrawOrg
60sDrOr2	60sDrawOr2
70sDrOrg	70sDrawOrg
DrawOrg2	DrawOrgan2
60sDrOr3	60sDrawOr3
EvenBar	Even Bar
Organ Ba	Organ Bass
70sDrOr2	70sDrawOr2
CheezOrg	CheeseOrgn
DrawOrg3	DrawOrgan3
ClkGspOr	ClikGospOr
Mood Org	Mood Organ
DrawOrg#	DrawOrgan#
70sPcOrg	70sPercOrg
DetPrcOr	DetPercOrg
LightOrg	LightOrgan
PercOrg2	PercOrgan2
WarmJazz	WarmJazzOr
PercOrg#	PercOrgan#
RotaryOr	RotaryOrgn
SlwRotar	SlowRotary
FstRotar	FastRotary
RockOrg#	RockOrgan#
ChurOrg3	ChurchOrg3
ChurOrg2	ChurchOrg2
NotreDam	Notre Dame
OrgFlute	OrganFlute
TrmOrgFl	TrmOrFlute
PuffOrgn	Puff Organ
AccordIt	AcordionIt
Harmo. 2	Harmonica2
TngoAcd2	TangoAcod2
NylonGt2	Nylon Gt.2
NylonGt3	Nylon Gt.3
VelGtHrm	VelGtHrmnx
NylonGt#	Nylon Gt.#
SteelGt2	Steel Gt.2
12StrGtr	12-Str Gt.
Nyln&Stl	Nyln&Steel
Stl&Body	Steel&Body
SteelGt#	Steel Gt.#
MelloGtr	Mellow Gt.
Jazz Amp	JazzGtrAmp
OctPlate	Oct. Plate
NekRough	Neck.Rough
PdlSteel	PedalSteel
JazzGtr#	Jazz Gtr.#
ChorusGt	Chorus Gt.
MidT.Gtr	MidToneGt.
MidTGtSt	MidTnGtrSt
NasalGtr	Nasal Gtr.
BridHamr	BridgeHamr
Dbl Hamr	Dbl Hammer
Funk Gtr	Funk Gtr 1
MuteStlG	MuteSteelG
FunkGtr2	Funk Gtr 2
GrvyMtGt	GroovyMtGt
Mu.DstGt	MuteDistGt
MutedGt#	Muted Gt.#
OvdrGtDt	OvdrGtrDet
Gt.Pinch	Gtr. Pinch
BriMnhtn	BriteMnhtn
Ovrdriv#	Overdrive#
DstRthmG	DistRthmGt
DistGtr2	Dist.Gtr 2
DistGtr3	Dist.Gtr 3
PowerGt2	PowerGtr.2
PowerGtr	Power Gtr.
Dst.5ths	Dist. 5ths
FeedbkGt	FeedbackGt
FeedbkG2	FeedbackG2
TwinDist	TwinDistGt
RckRthm2	RockRthm 2
RockRthm	RockRhythm
Dist.Gt#	Dist. Gt.#
GtFeedbk	GtFeedback
GtrHrmo2	GtrHarmo 2
